ID,Name,lon,lat
PUJ,Atlanta/Paulding,-84.93,33.92
ATR,Atlanta/Rfc,-84.57,33.36
ZTL,Atlanta/Artcc,-84.33,33.38
6A2,Griffin-Spalding,-84.27,33.22
DNL,Augusta/Daniel,-82.03,33.47
AGS,Augusta/Bush,-81.97,33.36
BGE,Bainbridge,-84.63,30.97
BHC,Baxley,-82.4,31.72
DZJ,Blairsville,-84.0,34.85
BIJ,Blakely Early C,-84.9,31.4
SSI,Brunswick,-81.38,31.15
BQK,Brunswick/Glynco,-81.47,31.25
6A1,Butler,-84.25,32.57
CZL,Calhoun,-84.93,34.45
CXU,Camilla,-84.23333333333333,31.216666666666665
18A,Canon,-83.13,34.33
CNI,Canton/Cherokee,-84.42,34.32
CTJ,Carrollton/Gray,-85.15,33.63
VPC,Cartersville,-84.85,34.13
CWV,Claxton/Evans Co,-81.87,32.2
CSG,Columbus,-84.95,32.52
CKF,Cordele,-83.77,31.98
AJR,Cornelia,-83.55,34.5
9A1,Covington,-83.85,33.63
CVC,Covington,-83.85,33.63
DNN,Dalton,-84.87,34.72
MGE,Dobbins Afb/Mari,-84.52,33.92
17J,Donaldson,-84.91666666666667,31.066666666666666
DQH,Douglas Muni,-82.87,31.48
DBN,Dublin,-82.98,32.57
EZM,Eastman,-83.13,32.22
27A,Elberton Patz F,-82.82,34.1
EBA,Elberton,-82.82,34.1
FZG,Fitzgerald,-83.27,31.68
LSF,Ft Benning/Colum,-84.97,32.32
LHW,Ft Stewart/Wrigh,-81.56,31.87
GVL,Gainesville,-83.83,34.27
49A,Ellijay,-84.53,34.63
3J7,Greensboro,-83.13,33.6
4A7,Hampton/Clay Cnt,-84.33,33.38
HMP,Hampton,-84.33333333333333,33.38333333333333
AZE,Hazelhurst,-82.65,31.88
HOE,Homerville,-82.78,31.05
JZP,Jasper,-84.45,34.45
19A,Jefferson,-83.57,34.18
JCA,Jefferson,-83.57,34.17
JES,Jesup/Wayne Cty,-81.88,31.55
9A5,Lafayette,-85.28,34.68
LGC,La Grange,-85.07,33.0
LZU,Lawrenceville,-83.97,33.97
2J3,Louisville,-82.38333333333334,32.983333333333334
MCN,Macon,-83.65,32.68
RYY,Marietta Mccolum,-84.6,34.02
HQU,Mcduffie/Thomson,-82.52,33.53
MLJ,Milledgeville,-83.23,33.15
2J5,Millen,-81.96666666666667,32.9
